id,user,created_at,text
1049700649322106880,DavidPTuttle,2018-10-09 16:38:31,"@windowsdev @ubuntu Smart move by @Microsoft.  I've enjoyed bash on Win10 w/Ubuntu subsystem.  Now, this VM tool gi https://t.co/5479sSmsu1"
1049698941149872128,EverCoronado10,2018-10-09 16:31:44,"RT @Windows: Thanks for the shout-out @Mashable! See what they had to say about the Your Phone app, Timeline on phone, and the rest of the"
1049698669572890624,Computerworld,2018-10-09 16:30:39,"@Windows 10: A guide to the #updates.
https://t.co/K54odS0mAR https://t.co/JBLFgBDhp8"
1049698354446442501,CoonCheese1,2018-10-09 16:29:24,@Tormounus @that_groyper @Windows Accuse windows of rape and get the Senate to help
1049698162460495873,TheONE_TheTAMAS,2018-10-09 16:28:39,"https://t.co/kfkQAiFj6U

@Microsoft you still want people to upgrade to @Windows 10 to be able to use @Office 2019 "
1049698126603440128,IQdoubledigit,2018-10-09 16:28:30,@Tormounus @Windows try a diffrnt type of connction.  my computr has a hart attck whn i use two dvi or two hdmi
1049697556358451200,cozyseal,2018-10-09 16:26:14,@Tormounus @that_groyper @Windows Did you recently modify the refresh rate or anything? If you need any advice just hit me on DMs.
1049697406848253952,bjbloompf4,2018-10-09 16:25:38,"@Tormounus @Windows at the risk of angering you for obvious thing you prob already did

unplug all monitors and re- https://t.co/jrauPifEPh"
1049697329421406208,declaa,2018-10-09 16:25:20,@Windows Yes I have.
1049696820161667073,that_groyper,2018-10-09 16:23:19,"RT @Tormounus: anyone can help me? @Windows wont let me change my display settings after entering sleep mode, has disabled my 3rd monitor,"
1049695908659716097,BarryTuckwood,2018-10-09 16:19:41,@bscar23625 @Windows @MicrosoftHelps Had some suggestions from @MicrosoftHelps but not practical. Oddly this was th https://t.co/WQQwnIt9Sr
1049694091733331968,MauStCha,2018-10-09 16:12:28,@martinmcneil @Microsoft @Windows @VisitScotland @joebelfiore Scotland...Nova Scotia...just a stone's throw away (l https://t.co/Ee25mEmZAd
1049693835348074497,NotMarek_,2018-10-09 16:11:27,hmm wtf @Windows @windowsdev you pulled the latest update because losing files yet i didnt update (my pc was off fo https://t.co/77nXxYBuib
1049691040624578560,bscar23625,2018-10-09 16:00:21,@BarryTuckwood @Windows @MicrosoftHelps Oh no!!!. Not the latest Windows major update. I hate these. They take an a https://t.co/MFtMbSdVKT
1049691031749492736,susurrou,2018-10-09 16:00:18, wayneradiotv: @windows-98 https://t.co/9YAnTOR9iv
1049690739653914624,accaleys,2018-10-09 15:59:09,What's the point of Windows Insider Program if issues aren't work on? @windows
1049690723707183104,Tormounus,2018-10-09 15:59:05,"anyone can help me? @Windows wont let me change my display settings after entering sleep mode, has disabled my 3rd https://t.co/wVvAd5Z0gk"
1049689649801830401,anthonyhunter69,2018-10-09 15:54:49,@NokiaMobile @Windows @LumiaPhotosApp @HMDGlobal @Lumia @nokia @Microsoft @pickit @NokiamobBlog @TheLumians https://t.co/81K6pOqv6r
1049689474530242573,anthonyhunter69,2018-10-09 15:54:07,@wajon68 @Windows @LumiaPhotosApp @NokiaMobile @NokiaLumia1020 @Lumia @nokia @Microsoft @pickit @HMDGlobal Hahahaha https://t.co/RmL3DKAB0i
1049689403109662720,discodragon95,2018-10-09 15:53:50,"@Windows ASUS,  the model # is q500a"
1049686823826587648,discodragon95,2018-10-09 15:43:35,@Windows Im stuck because none of the automatic repairs work and i need to use the computer for my grad school work https://t.co/NY3rUPaTIj
1049685808670638081,sajidalimd,2018-10-09 15:39:33,@jon_prosser At this point I want Microsoft to come up with a new phone (Either new OS or Android). I think they ar https://t.co/uV7lYnB6DJ
1049685044120424449,aliostad,2018-10-09 15:36:31,"OK, @Windows 10 itself is a virus.
https://t.co/UbeB6dcC6r"
1049684747713048576,youshukuan,2018-10-09 15:35:20,RT @Windows: Hold onto the season's beauty long after the last leaf has fallen with this 17-image #Windows10 Autumn Colors theme. Get it he
1049683779437113344,martinmcneil,2018-10-09 15:31:29,"@MauStCha @Microsoft @Windows @VisitScotland @joebelfiore Yep, they're definitely messing with us.

Oh, and that vi https://t.co/ZtPzdDZSSk"
